0|00500
1|00501
1 thousand foot wind|00003
10|00004
11|00005
12|00006
13|00007
14|00008
15|00009
16|00010
17|00011
18|00012
19|00013
2|00502
2 thousand foot wind|00015
20|00016
21|00017
22|00018
23|00019
23 thousand|00020
24|00021
25|00022
25 metre range|00023
26|00024
27|00025
28|00026
29|00027
3|00503
30|00029
4|00504
40|00031
5|00505
5 hundred foot wind|00033
50|00034
6|00506
60|00036
7|00507
70|00038
8|00508
80|00040
9|00509
90|00042
a|01000
a half|01001
A4|01002
A6|01003
AA|01004
AACC|01005
abatement|01006
abbreviated|01007
abeam|01008
Aberfoyle|01009
able|01010
abort|01011
about|01012
above|01013
above aerodrome|01014
above aerodrome level|01015
above airport|01016
above ground|01017
above ground level|01018
above mean sea level|01019
above mountains|01020
abrupt|01021
ACARS|01022
ACAS|01023
ACC|01024
accelerate|01025
accelerate stop distance available|01026
accept|01027
accepted|01028
access|01029
accident|01030
accidents|01031
ACD|01032
acknowledge|01033
across|01034
ACT|01035
action|01036
activated|01037
active|01038
activity|01039
actual|01040
actual time of arrival|01041
actual time of departure|01042
addition|01043
additional|01044
additionally|01045
Adelaide|01046
Adervale|01047
ADF|01048
ADIZ|01049
adjacent|01050
adjacent to|01051
ADS|01052
ADS-B|01053
ADS-C|01054
advance|01055
advanced|01056
advanced surface movement guidance|01057
advice|01058
advice current|01059
advise|01060
advised|01061
advises|01062
advising|01063
advisories|01064
advisory|01065
advisory centre|01066
advisory route|01067
aerial|01068
aerial work|01069
AERIS|01070
Aeroclub|01071
aerodrome|01072
aerodrome and fire fighting category|01073
aerodrome beacon|01074
aerodrome chart|01075
aerodrome closed|01076
aerodrome closed to all operations|01077
aerodrome conditions|01078
aerodrome control|01079
aerodrome emergency exercise|01080
aerodrome emergency plan|01081
aerodrome frequency response unit|01082
aerodrome is non controlled|01083
aerodrome obstacle chart|01084
Aerodrome partially covered by fog|01085
aerodrome reference point|01086
aerodrome traffic zone|01087
aerodrome weather|01088
aerodrome weather information service|01089
aerodrome works|01090
aerodromes|01091
aeronautical|01092
aeronautical chart|01093
aeronautical database|01094
aeronautical fixed service|01095
aeronautical information|01096
aeronautical information circular|01097
Aeronautical Information Publication|01098
Aeronautical Information Publication Supplement|01099
aeronautical information service|01100
Aeropelican|01101
aeroplane|01102
aeroplane reference field length|01103
aeroplanes|01104
aerospace|01105
affect|01106
affected|01107
affecting|01108
affirm|01109
AFS|01110
after|01111
after hours|01112
after passing|01113
after time|01114
afternoon|01115
AFTN|01116
again|01117
AGL|01118
AIC|01119
aid|01120
aids|01121
AIP|01122
AIP Sup|01123
AIP Supplement|01124
air|01125
air defence|01126
air ground|01127
air pressure|01128
air report|01129
air show|01130
air shows|01131
air shows down under|01132
air speed|01133
air temperature|01134
air to air|01135
air to ground|01136
air traffic control|01137
air traffic flow management|01138
air traffic management|01139
air traffic services|01140
air traffic services and aerodrome|01141
AIRAC|01142
airborne|01143
Airbus|01144
Airbus 300|01145
Airbus 310|01146
Airbus 320|01147
Airbus 330|01148
Airbus 340|01149
Airbus 350|01150
Airbus 360|01151
Airbus 370|01152
Airbus 380|01153
Airbus 390|01154
aircraft|01155
aircraft and all ground operators|01156
aircraft are requested|01157
aircraft classification number|01158
aircraft from east|01159
aircraft from east and north|01160
aircraft from east and south|01161
aircraft from north|01162
aircraft from north and east|01163
aircraft from north and west|01164
aircraft from south|01165
aircraft from south and east|01166
aircraft from south and west|01167
aircraft from west|01168
aircraft from west and north|01169
aircraft from west and south|01170
aircraft landing area|01171
aircraft landing minima|01172
aircraft type|01173
aircraft with wingspan|01174
airep|01175
airfield|01176
airforce|01177
airline|01178
airlines|01179
airmet|01180
airport|01181
airports|01182
Airservices|01183
Airservices Australia|01184
airship|01185
airspace|01186
airspace closed within|01187
airspeed|01188
airway|01189
airways|01190
airways clearance|01191
airways clearance delivery|01192
AIS|01193
ALA|01194
alarm|01195
Albany|01196
Albert|01197
Albert Park Lake|01198
Albury|01199
ALERFA|01200
alert|01201
alert phase|01202
alerted|01203
alerting|01204
alerts|01205
Alice Springs|01206
all|01207
all aircraft|01208
all aircraft receiving this message|01209
all categories|01210
all cross wind|01211
all departing aircraft|01212
all departures|01213
all operations suspended|01214
all runways|01215
all stations|01216
All stations Australian VOLMET|01217
all up weight|01218
all vehicles|01219
all VFR aircraft|01220
all VFR aircraft remain outside|01221
allocate|01222
allocated|01223
allocation|01224
allow|01225
allowed|01226
allowing|01227
along|01228
Alpha|01229
Alpha and Bravo|01230
Alpha and Charlie|01231
Alpha Bravo and Charlie|01232
alternate|01233
alternate frequency|01234
